"Index","AMAZ.Open","AMAZ.High","AMAZ.Low","AMAZ.Close","AMAZ.Volume"
2007-01-03,20,20,16,16,650
2007-01-04,20,20,20,20,67
2007-01-08,19.2,22,19.2,22,1801
2007-01-09,22,22,20.8,20.8,356
2007-01-10,20.8,20.8,20.8,20.8,438
2007-01-11,20.8,21.6,20.8,21.6,2318
2007-01-12,22,22,22,22,306
2007-01-16,21.6,21.6,21.2,21.2,925
2007-01-17,22,22,21.6,21.6,2138
2007-01-22,23.2,23.2,22.8,22.8,527
2007-01-23,22.8,22.8,22.8,22.8,38
2007-01-26,22,22,22,22,250
2007-01-29,22.8,23.2,22,23.2,986
2007-01-31,23.6,24,23.6,24,125
2007-02-01,24,24,24,24,270
2007-02-02,23.6,24,23.6,24,729
2007-02-05,24,25.6,24,25.6,375
2007-02-06,24.4,24.4,24.4,24.4,142
2007-02-09,24,24,23.2,23.6,2690
2007-02-12,23.6,23.6,23.2,23.2,251
2007-02-13,22.8,23.6,22.8,23.6,427
2007-02-14,23.6,23.6,23.6,23.6,500
2007-02-15,23.6,23.6,23.6,23.6,40
2007-02-16,23.2,23.6,22.4,22.4,850
2007-02-20,22.4,22.4,20.8,20.8,312
2007-02-21,20.8,20.8,20.4,20.4,238
2007-02-22,18.8,18.8,16.8,17.6,625
2007-02-23,18.8,18.8,16,16,375
2007-02-26,16,22.8,16,22.8,2302
2007-02-27,22.8,22.8,20.8,22,700
2007-02-28,22,22,22,22,540
2007-03-01,22,22,22,22,62
2007-03-02,22.8,23.6,22.8,22.8,595
2007-03-05,23.6,23.6,21.6,21.6,842
2007-03-06,23.8,24,23.6,24,950
2007-03-07,23.6,23.6,22.8,22.8,100
2007-03-09,22.4,22.8,22.4,22.8,188
2007-03-12,22.8,23.6,22.8,23.6,325
2007-03-15,22.8,22.8,22,22,625
2007-03-19,22,22,22,22,500
2007-03-20,22.8,22.8,22.8,22.8,85
2007-03-22,22.8,22.8,22,22,1262
2007-03-29,22.4,22.8,22.4,22.8,381
2007-03-30,22.8,22.8,22.8,22.8,131
2007-04-04,23.2,23.2,22.8,22.8,190
2007-04-05,22.8,22.8,22.4,22.4,138
2007-04-09,22,22,21.6,21.6,465
2007-04-10,22,22,20.4,20.4,488
2007-04-11,20.8,20.8,20,20,366
2007-04-12,21,21,21,21,625
2007-04-13,22,22,21.6,21.6,875
2007-04-16,21.6,21.6,20.2,20.2,312
2007-04-17,21.2,21.2,21.04,21.04,900
2007-04-18,21.6,21.6,20.4,21.6,746
2007-04-19,22.4,22.8,22.4,22.8,150
2007-04-20,22.4,22.4,21.2,21.2,218
2007-04-24,21.6,22.4,21.6,22.4,113
2007-04-26,21.6,21.6,21.6,21.6,10
2007-04-27,21.6,21.6,21.6,21.6,310
2007-04-30,21.6,21.6,21.6,21.6,62
2007-05-01,21.8,21.8,21.6,21.6,170
2007-05-03,22.4,22.4,22.4,22.4,62
2007-05-04,22,22.4,21.6,22.4,188
2007-05-07,22.4,23.2,22,23.2,996
2007-05-08,22.8,23.2,22.8,23.2,388
2007-05-09,23.2,23.2,23.2,23.2,699
2007-05-10,23.6,23.6,23.6,23.6,250
2007-05-11,24,24,23.6,23.6,727
2007-05-16,23.2,23.2,23.2,23.2,250
2007-05-17,23.2,24.8,23.2,24.8,368
2007-05-18,23.2,26,23.2,25.2,68
2007-05-21,23.2,26,23.2,24,200
2007-05-23,21.2,22,21.2,22,275
2007-05-29,22.2,22.2,22,22,79
2007-05-30,22,22,22,22,42
2007-05-31,21.2,21.2,21.2,21.2,250
2007-06-01,20.8,22,20.8,22,3462
2007-06-04,21.2,22,21.2,22,1524
2007-06-06,21.2,21.2,21.2,21.2,125
2007-06-11,22,22,22,22,375
2007-06-12,22,22,22,22,500
2007-06-13,21.2,21.2,21.2,21.2,88
2007-06-14,21.6,21.6,21.2,21.2,315
2007-06-15,21.2,22,21.2,22,125
2007-06-18,21.2,21.2,21.2,21.2,18
2007-06-21,22,22,22,22,250
2007-06-25,22,22,21.2,21.2,775
2007-06-27,22,22,21.6,22,1747
2007-06-28,22,23.2,21.2,21.2,2988
2007-07-02,21.2,21.6,21.2,21.6,17
2007-07-05,22,22,22,22,8
2007-07-06,21.2,21.2,21.2,21.2,12
2007-07-09,22,22,18,19.6,725
2007-07-11,21.2,22,21.2,22,2188
2007-07-12,22,22,22,22,290
2007-07-13,21.6,22,20.4,22,654
2007-07-16,19.6,19.6,19.6,19.6,350
2007-07-17,21.6,21.6,20.4,20.4,338
2007-07-18,20.4,20.4,20.4,20.4,75
2007-07-19,20.4,20.4,20.4,20.4,69
2007-07-20,20.4,20.4,20.4,20.4,250
2007-07-23,20.8,21.6,20,20,1962
2007-07-26,20.4,20.4,20.4,20.4,238
2007-08-01,20.4,20.4,20.4,20.4,562
2007-08-06,19.6,19.6,19.6,19.6,125
2007-08-07,19.2,19.2,19.2,19.2,50
2007-08-08,19.6,19.6,19.6,19.6,51
2007-08-10,19.6,19.6,19.6,19.6,4
2007-08-14,19.2,19.2,19.2,19.2,50
2007-08-15,19.6,19.6,19.6,19.6,225
2007-08-16,19.6,19.6,19.6,19.6,51
2007-08-17,18,18,18,18,47
2007-08-21,16.8,16.8,16.8,16.8,125
2007-08-23,16.8,16.8,16.8,16.8,100
2007-08-27,14.4,16.4,14,14,775
2007-08-28,14,14,12,13.6,702
2007-08-29,12.8,12.8,12.8,12.8,575
2007-08-30,12.8,16,12.8,15.2,1652
2007-08-31,13.6,13.6,13.6,13.6,675
2007-09-04,12.8,14.4,12,12,278
2007-09-05,12.4,12.8,12,12.8,425
2007-09-06,12.8,12.8,12.8,12.8,152
2007-09-10,13.6,13.6,13.6,13.6,30
2007-09-11,13.6,13.6,13.2,13.4,402
2007-09-12,11.6,11.6,11.2,11.2,250
2007-09-13,13.2,14,13.2,13.2,775
2007-09-14,13.2,13.2,13.2,13.2,125
2007-09-17,13.6,13.6,11,11,1275
2007-09-20,10.8,10.8,10,10,838
2007-09-21,9.8,10,9.2,9.2,936
2007-09-24,8.8,8.8,8.8,8.8,50
2007-09-25,8.8,10,8.8,10,138
2007-09-27,10,10,10,10,94
2007-10-02,8.8,8.8,8.8,8.8,731
2007-10-03,10,10,10,10,525
2007-10-04,9.6,9.6,9.6,9.6,250
2007-10-08,8.8,8.8,8.8,8.8,1500
2007-10-09,9.2,9.6,8.6,8.8,2029
2007-10-10,8,8.8,8,8,500
2007-10-12,8,8,8,8,750
2007-10-15,7.6,8,7.6,8,1625
2007-10-16,8,8,8,8,250
2007-10-17,8.8,8.8,8.4,8.4,608
2007-10-18,8.8,8.8,8.4,8.4,426
2007-10-19,8.8,9.2,8.8,9.2,1100
2007-10-22,9.6,12,9.6,12,1332
2007-10-23,12,12.8,9.6,9.6,402
2007-10-24,12,12.8,11.6,11.6,1416
2007-10-25,11.6,11.8,10,10,3250
2007-10-26,10,11.2,10,10,1798
2007-10-29,10.4,10.4,10.4,10.4,625
2007-10-30,NA,NA,NA,10.4,0
2007-10-31,NA,NA,NA,10.4,0
2007-11-01,NA,NA,NA,10.4,0
2007-11-02,11.2,13.2,11.2,12,2848
2007-11-05,12,12.8,12,12,996
2007-11-06,12,12,12,12,575
2007-11-07,12.2,12.4,10.8,11.2,900
2007-11-08,10.8,11.6,10.4,10.8,1409
2007-11-09,11.6,11.6,11.6,11.6,212
2007-11-12,11.6,11.6,11.6,11.6,585
2007-11-13,10.8,11.6,10.8,11.6,200
2007-11-14,NA,NA,NA,11.6,0
2007-11-15,11.6,14,11.2,11.6,2495
2007-11-16,12,12,12,12,780
2007-11-19,12,12,11.6,11.6,50
2007-11-20,12,12,11.6,11.6,1148
